ID,ID_POSTE,ESPECIE,LATITUDE,LONGITUDE,ALTURA(m),Image_Path
AR6172,29363153,FIGUEIRA,-10.784554,-37.165384,16,data/imagem/AR6172_6172.jpg
AR6173,29363153,FIGUEIRA,-10.784579,-37.165381,15,data/imagem/AR6173_6173.jpg
AR6198,29379830,FIGUEIRA,-10.813412,-37.173098,5,data/imagem/AR6198_6198.jpg
AR6605,29249453,JAMBOLAO,-10.70589,-37.257183,8,data/imagem/AR6605_6605.jpg
AR6616,29529497,JAMBOLAO,-10.717715,-37.249828,7,data/imagem/AR6616_6616.jpg
AR6629,29452408,JAMBOLAO,-10.70824,-37.241357,8,data/imagem/AR6629_6629.jpg
AR6760,29281409,JAMBOLAO,-10.701791,-37.234712,8,data/imagem/AR6760_6760.jpg
AR6766,29282411,JAMBOLAO,-10.701563,-37.236159,6,data/imagem/AR6766_6766.jpg
AR6768,29282411,JAMBOLAO,-10.701635,-37.236143,8,data/imagem/AR6768_6768.jpg
AR6773,29447366,JAMBOLAO,-10.702464,-37.237131,5,data/imagem/AR6773_6773.jpg
AR7013,94158930,JAMBOLAO,-10.689635,-37.30843,7,data/imagem/AR7013_7013.jpg
AR024,29533668,JAMBOLAO,-11.06183,-37.121113,11,data/imagem/AR024_24.jpg
AR053,29291451,JAMBOLAO,-11.069789,-37.122243,10,data/imagem/AR053_53.jpg
AR055,29291514,JAMBOLAO,-11.069608,-37.1226,9,data/imagem/AR055_55.jpg
AR063,29206989,JAMBOLAO,-11.070506,-37.12117,5,data/imagem/AR063_63.jpg
AR1092,29497085,JAMBOLAO,-10.875943,-37.139069,10,data/imagem/AR1092_1092.jpg
AR1101,29305796,JAMBOLAO,-10.87279,-37.14249,11,data/imagem/AR1101_1101.jpg
AR1236,29450157,JAMBOLAO,-10.92158,-37.17091,7,data/imagem/AR1236_1236.jpg
AR1302,29513398,JAMBOLAO,-10.8707,-37.112631,5,data/imagem/AR1302_1302.jpg
AR1338,29305427,JAMBOLAO,-10.872471,-37.123737,8,data/imagem/AR1338_1338.jpg
AR1426,70846817,JAMBOLAO,-10.991222,-37.190329,13,data/imagem/AR1426_1426.jpg
AR1441,29538491,JAMBOLAO,-10.990561,-37.205672,13,data/imagem/AR1441_1441.jpg
AR1442,130258491,JAMBOLAO,-10.991181,-37.20449,13,data/imagem/AR1442_1442.jpg
AR1468,241666429,JAMBOLAO,-11.006717,-37.199367,13,data/imagem/AR1468_1468.jpg
AR1571,29387194,JAMBOLAO,-10.918847,-37.161341,5,data/imagem/AR1571_1571.jpg
AR1595,29206059,JAMBOLAO,-10.914944,-37.152092,9,data/imagem/AR1595_1595.jpg
AR1613,29386775,JAMBOLAO,-10.913141,-37.152981,13,data/imagem/AR1613_1613.jpg
AR163,29285034,JAMBOLAO,-11.088727,-37.139115,13,data/imagem/AR163_163.jpg
AR1712,29534253,JAMBOLAO,-11.042487,-37.200484,14,data/imagem/AR1712_1712.jpg
AR1824,29535485,JAMBOLAO,-11.032025,-37.166489,9,data/imagem/AR1824_1824.jpg
AR1827,29326233,JAMBOLAO,-11.032841,-37.168257,11,data/imagem/AR1827_1827.jpg
AR1920,29241022,JAMBOLAO,-11.03088,-37.232174,"4,5",data/imagem/AR1920_1920.jpg
AR1949,29518895,JAMBOLAO,-11.002234,-37.261152,15,data/imagem/AR1949_1949.jpg
AR1966,115560199,JAMBOLAO,-11.006255,-37.267774,6,data/imagem/AR1966_1966.jpg
AR2123,29529334,JAMBOLAO,-10.983992,-37.254788,8,data/imagem/AR2123_2123.jpg
AR435,29292774,JAMBOLAO,-11.060808,-37.109282,7,data/imagem/AR435_435.jpg
AR441,29400709,JAMBOLAO,-11.058025,-37.109491,6,data/imagem/AR441_441.jpg
AR461,29292597,JAMBOLAO,-11.060619,-37.109624,8,data/imagem/AR461_461.jpg
AR548,85703952,JAMBOLAO,-11.024751,-37.082792,13,data/imagem/AR548_548.jpg
AR559,30301594,JAMBOLAO,-11.029008,-37.091492,9,data/imagem/AR559_559.jpg
AR614,164022232,JAMBOLAO,-11.051318,-37.098361,6,data/imagem/AR614_614.jpg
AR2259,29321911,JAMBOLAO,-10.97248,-37.238072,"7,5",data/imagem/AR2259_2259.jpg
AR775,29206989,JAMBOLAO,-11.070373,-37.121196,8,data/imagem/AR775_775.jpg
AR776,29266298,JAMBOLAO,-11.069795,-37.122294,9,data/imagem/AR776_776.jpg
AR789,218273167,JAMBOLAO,-11.084029,-37.157053,13,data/imagem/AR789_789.jpg
AR1099,29305799,JAQUEIRA,-10.872959,-37.141021,9,data/imagem/AR1099_1099.jpg
AR1130,29305382,JAQUEIRA,-10.870546,-37.159457,8,data/imagem/AR1130_1130.jpg
AR1139,29305312,JAQUEIRA,-10.872772,-37.161583,11,data/imagem/AR1139_1139.jpg
AR1529,29360863,JAQUEIRA,-10.879988,-37.17876,14,data/imagem/AR1529_1529.jpg
AR1533,29373752,JAQUEIRA,-10.880296,-37.177263,9,data/imagem/AR1533_1533.jpg
AR1541,29373710,JAQUEIRA,-10.881932,-37.179263,15,data/imagem/AR1541_1541.jpg
AR990,29253586,JAQUEIRA,-10.84168,-37.149265,12,data/imagem/AR990_990.jpg
