MRID,FAVORITE,NOM_POPULAR,DSC_NOME,VLR_CLIMATICA,VEL_CRESCIMENTO,DSC_CRESCIMENTO,DIM_TRONCO_NOVO,DIM_TRONCO_ANTIGO,DSC_CRESCIMENTO_1,DSC_CRESCIMENTO_2,DSC_CRESCIMENTO_3,DSC_CRESCIMENTO_4,DSC_CRESCIMENTO_5,DSC_CRESCIMENTO_6,DSC_CRESCIMENTO_7,DSC_CRESCIMENTO_8,DSC_CRESCIMENTO_9,DSC_CRESCIMENTO_10,DSC_CRESCIMENTO_11,DSC_CRESCIMENTO_12,DENSITY
89,0,ESPIRRADEIRA,NERIUM OLEANDER,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
90,0,FAVEIRO,FAVEIRO,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
91,0,FICUS LIRATA,FICUS LYRATA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
92,0,GOIABEIRA,PSIDIUM GUAJAVA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
93,0,HIBISCO,HIBISCUS,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
94,0,JACARÉ,PIPTADENIA GONOACANTHA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
95,0,JAQUEIRA,ARTOCARPUS HETEROPHYLLUS,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
96,0,JATOBÁ,HYMENEA COURBARIL,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
97,0,LICURI,SYAGRUS CORONATA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
98,0,LOFANTERA,LOPHANTHERA LACTESCENS,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
99,0,MACAUBA,ACROCOMIA ACULEATA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
100,0,MAMOEIRO,CARICA PAPAYA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
101,0,MIRINDIBA,LAFOENSIA GLYPTOCARPA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
57,0,SIBIPIRUNA,CAESALPINIA  PLUVIOSA,"Tropical,Subtropical",Lento,Semi,"0,25","0,4",Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
58,0,TIPUANA,TIPUANA TIPU,"Temperado,Subtropical,Tropical",Rapido,Sazonal,"0,3","0,8",Vegetativo,Reprodutivo,Reprodutivo,Reprodutivo,Reprodutivo,Repouso,Repouso,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
59,0,ABACATEIRO,PERCEA AMERICANA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
60,0,ALECRIM,HOLOCALYX BALANSAE,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
61,0,AMEIXEIRA,ERIOBOTRYA JAPONICA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
62,0,AMESCLA,PROTIUM HEPTAPHYLLUM,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
63,0,AMOREIRA,MORUS SP.,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
64,0,ANGELIM,HYEMENOLOBIUM SP.,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
65,0,ARATICUM,ANNONA CRASSIFLORA,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
66,0,ARECA,ARECA SP.,"Tropical,Subtropical,Arido,Litoraneo,Equatorial,Temperado",Medio,Perene,"0,1","0,2",Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,Vegetativo,
